tau_N_per_m,sigma_Pa,radius_m,rho_s_kg_per_m2,f_01_Hz,f_11_Hz,f_21_Hz,f_02_Hz
190.0,1000000.0,0.15,0.266,68.19435617570488,108.65682995414616,145.63237458595418,156.53450270694043
265.42713567839195,1396984.9246231155,0.15,0.266,80.60171698960657,128.4259805076365,172.12889891734682,185.01457296239664
340.8542713567839,1793969.8492462311,0.15,0.266,91.33894760246784,145.53404496203427,195.05877872439555,209.6609975155294
416.2814070351759,2190954.773869347,0.15,0.266,100.94042756289525,160.83247189754627,215.5632076037264,231.7004004095714
491.70854271356785,2587939.6984924623,0.15,0.266,109.70476965033852,174.79705315118616,234.279887714165,251.81822257474647
567.1356783919598,2984924.6231155777,0.15,0.266,117.81894181958845,187.72569233858798,251.6080982447033,270.4436334829374
642.5628140703518,3381909.5477386937,0.15,0.266,125.40920866882665,199.81957195846903,267.81748340478225,287.86646307307535
717.9899497487437,3778894.472361809,0.15,0.266,132.56559201540585,211.22212741881322,283.1002891772195,304.2933489791571
793.4170854271357,4175879.3969849246,0.15,0.266,139.35495238364788,222.0398903012541,297.599299473604,319.87776400322036
868.8442211055277,4572864.3216080405,0.15,0.266,145.82856140448794,232.35455377215348,311.4240073631678,334.737397932243
944.2713567839196,4969849.2462311555,0.15,0.266,152.0267604363003,242.2303953518636,324.6605637848381,348.964851016829
1019.6984924623116,5366834.170854271,0.15,0.266,157.98196876925536,251.7190700085787,337.3782017144016,362.63453905543327
1095.1256281407036,5763819.095477387,0.15,0.266,163.72070432191438,260.86282981606894,349.63355146066573,375.80733173621746
1170.5527638190956,6160804.020100502,0.15,0.266,169.26498631175156,269.6967588854396,361.47363613679005,388.5337723511873
1245.9798994974874,6557788.944723618,0.15,0.266,174.63333633236002,278.2503684219924,372.9380095094988,400.85637568609667
1321.4070351758794,6954773.869346733,0.15,0.266,179.84151001930812,286.5487625180714,384.06031850721246,412.81130749888854
1396.8341708542714,7351758.793969849,0.15,0.266,184.90304295353997,294.61350796306283,394.86946902339264,424.42963759578663
1472.2613065326634,7748743.718592965,0.15,0.266,189.8296653869789,302.46329504249815,405.390511583301,435.73829179960717
1547.6884422110554,8145728.64321608,0.15,0.266,194.63162237515803,310.1144476183412,415.64532500285037,446.76078678772666
1623.1155778894472,8542713.567839196,0.15,0.266,199.3179244218639,317.5813224912518,425.6531516524688,457.51780542612477
1698.5427135678392,8939698.492462311,0.15,0.266,203.89654622698635,324.87662607358516,435.4310218928299,468.0276529786314
1773.9698492462312,9336683.417085428,0.15,0.266,208.37458609616314,332.01166838323564,444.99409450192553,478.3066230185769
1849.3969849246232,9733668.341708543,0.15,0.266,212.75839512978342,338.996568885709,454.3559325644854,488.3692939714617
1924.8241206030152,10130653.266331658,0.15,0.266,217.05368291198099,345.8404248926762,463.5287291759786,498.2287717152962
2000.2512562814072,10527638.190954775,0.15,0.266,221.2656047222625,352.55145051979355,472.5234936873004,507.8968897676788
2075.6783919597992,10924623.11557789,0.15,0.266,225.39883407099128,359.1370922604264,481.35020660783636,517.3843757849966
2151.1055276381912,11321608.040201005,0.15,0.266,229.4576234689447,365.6041258122474,490.01794938181735,526.700991053918
2226.5326633165832,11718592.96482412,0.15,0.266,233.44585568278936,371.9587377446606,498.53501384688695,535.8556481440951
2301.959798994975,12115577.889447236,0.15,0.266,237.36708723604343,378.20659481064683,506.908995132529,544.8565107610233
2377.386934673367,12512562.814070351,0.15,0.266,241.224585542969,384.3529031136988,515.1468709613064,553.7110789838197
2452.814070351759,12909547.738693466,0.15,0.266,245.0213607786695,390.402458887738,523.2550697090085,562.4262624203948
2528.241206030151,13306532.663316583,0.15,0.266,248.76019336960778,396.3596922988708,531.2395291119947,571.0084433096621
2603.668341708543,13703517.587939698,0.15,0.266,252.44365781840983,402.2287054064132,539.105747146224,579.4635312094044
2679.095477386935,14100502.512562813,0.15,0.266,256.074143443246,408.013305207787,546.858826317216,587.7970106018074
2754.522613065327,14497487.43718593,0.15,0.266,259.6538725065464,413.7170325237364,554.5035123748067,596.0139825064259
2829.949748743719,14894472.361809045,0.15,0.266,263.1849161238151,419.3431873464858,562.044228287198,604.1192009975507
2905.376884422111,15291457.28643216,0.15,0.266,266.66920827600876,424.8948511662309,569.4851041650752,612.1171053684645
2980.804020100503,15688442.211055277,0.15,0.266,270.10855819467673,430.3749067048835,576.8300037106783,620.0118485605068
3056.2311557788944,16085427.135678392,0.15,0.266,273.5046613450323,435.7860554158436,584.082547672686,627.8073223738041
3131.6582914572864,16482412.060301507,0.15,0.266,276.85910919620204,441.1308330513344,591.2461347110609,635.5071798940704
3207.0854271356784,16879396.984924622,0.15,0.266,280.1733979384343,446.41162355188277,598.3239600130723,643.1148555022371
3282.5125628140704,17276381.90954774,0.15,0.266,283.4489362827492,451.63067147381776,605.3190319498299,650.6335827779044
3357.9396984924624,17673366.834170856,0.15,0.266,286.6870524583831,456.7900931385827,612.2341870196678,658.0664105613969
3433.3668341708544,18070351.75879397,0.15,0.266,289.88900050662403,461.8918866609573,619.0721032889369,665.4162174007407
3508.7939698492464,18467336.683417086,0.15,0.266,293.05596595562287,466.93794099096533,625.8353125108415,672.6857245777248
3584.2211055276384,18864321.608040202,0.15,0.266,296.18907094900874,471.9300440855041,632.5262110778472,679.877507880212
3659.6482412060304,19261306.532663316,0.15,0.266,299.2893788912174,476.869890309935,639.1470699420062,686.9940082651059
3735.0753768844224,19658291.457286432,0.15,0.266,302.35789866405736,481.75908715650917,645.700043619641,694.0375415371312
3810.5025125628144,20055276.38190955,0.15,0.266,305.39558846191306,486.59916135515135,652.187178381606,701.0103071522232
3885.929648241206,20452261.306532662,0.15,0.266,308.40335928691155,491.39156444245174,658.6104197173889,707.9143962403949
3961.356783919598,20849246.23115578,0.15,0.266,311.3820781401935,496.1376778464459,664.9716191502234,714.7517989310358
4036.78391959799,21246231.155778892,0.15,0.266,314.33257094096905,500.8388175376659,671.2725404708764,721.5244110533619
4112.2110552763825,21643216.08040201,0.15,0.266,317.2556252012139,505.49623829084135,677.5148654495922,728.2340402759608
4187.6381909547745,22040201.005025126,0.15,0.266,320.15199248055103,510.111137596362,683.7001990786118,734.8824117417687
4263.0653266331665,22437185.92964824,0.15,0.266,323.0223906430026,514.6846592560519,689.8300743915765,741.4711732482574
4338.492462311558,22834170.854271356,0.15,0.266,325.8675059348113,519.2178966938463,695.9059569008174,748.0019000169024
4413.91959798995,23231155.778894473,0.15,0.266,328.68799490037355,523.7118960085262,701.9292486889237,754.476099091048
4489.346733668342,23628140.703517586,0.15,0.266,331.4844861514363,528.1676587926498,707.9012921869486,760.8952133969525
4564.773869346734,24025125.628140703,0.15,0.266,334.2575820030646,532.586144739208,713.8233736680986,767.2606254990169
4640.201005025126,24422110.55276382,0.15,0.266,337.0078599884418,536.9682740552146,719.6967264826625,773.5736610768824
4715.628140703518,24819095.477386933,0.15,0.266,339.7358742632914,541.3149296994309,725.5225340572235,779.835592149166
4791.05527638191,25216080.40201005,0.15,0.266,342.44215690959646,545.6269594596324,731.3019326788148,786.0476400660391
4866.482412060302,25613065.326633167,0.15,0.266,345.1272191473028,549.9051778832663,737.0360140825711,792.2109782905927
4941.909547738694,26010050.25125628,0.15,0.266,347.7915524618218,554.1503680739467,742.7258278595667,798.3267349869269
5017.336683417086,26407035.175879396,0.15,0.266,350.43562965437445,558.3632833650097,748.3723836998752,804.3959954311283
5092.763819095478,26804020.100502513,0.15,0.266,353.05990582153566,562.5446488802623,753.976653484435,810.4198042597335
5168.19095477387,27201005.025125626,0.15,0.266,355.6648192697239,566.6951629910752,759.5395732379862,816.3991675688637
5243.618090452262,27597989.949748743,0.15,0.266,358.2507923698412,570.8154986781147,765.0620449541963,822.3350548759807
5319.045226130654,27994974.87437186,0.15,0.266,360.8182323567821,574.9063048052338,770.54493830305,828.2284009550934
5394.472361809046,28391959.798994973,0.15,0.266,363.36753207809664,578.9682073123464,775.9890922296562,834.0801075552516
5469.899497487438,28788944.72361809,0.15,0.266,365.89907069570467,583.0018103334977,781.3953164527928,839.8910450112734
5545.32663316583,29185929.648241207,0.15,0.266,368.4132143442116,587.007697245785,786.7643928707722,845.6620537548541
5620.753768844222,29582914.57286432,0.15,0.266,370.91031674905963,590.9864316542833,792.097076881533,851.3939457334816
5696.180904522614,29979899.497487437,0.15,0.266,373.39071980747127,594.9385583176858,797.3940986232742,857.0875057439442
5771.608040201006,30376884.422110554,0.15,0.266,375.8547541348855,598.8646040189636,802.6561641413953,862.7434926866296
5847.035175879397,30773869.346733667,0.15,0.266,378.3027395793598,602.765078384982,807.8839564870271,868.3626407462915
5922.462311557789,31170854.271356784,0.15,0.266,380.7349857062031,606.640474658687,813.0781367519896,873.9456605044858
5997.889447236181,31567839.1959799,0.15,0.266,383.1517922549188,610.4912704271707,818.2393450446159,879.4932399884441
6073.316582914573,31964824.120603014,0.15,0.266,385.5534495703678,614.3179283086603,823.368201410521,885.0060456607738
6148.743718592965,32361809.04522613,0.15,0.266,387.94023900990715,618.1208966012296,828.4653067020677,890.4847233540105
6224.170854271357,32758793.969849244,0.15,0.266,390.31243332811937,621.9006098958029,833.5312433999733,895.9298991537327
6299.597989949749,33155778.89447236,0.15,0.266,392.6702970406233,625.6574896558301,838.5665763902471,901.3421802336593
6375.025125628141,33552763.819095477,0.15,0.266,395.01408676833927,629.3919447658182,843.5718536993837,906.722155645882
6450.452261306533,33949748.743718594,0.15,0.266,397.34405156347674,633.1043720507404,848.5476071905272,912.0703970691429
6525.879396984925,34346733.66834171,0.15,0.266,399.66043321841676,636.7951567681918,853.4943532231034,917.3874595178489
6601.306532663317,34743718.59296482,0.15,0.266,401.96346655857457,640.4646730750178,858.412593278243,922.6738820143127
6676.733668341709,35140703.51758794,0.15,0.266,404.2533797202443,644.113284470017,863.302814552132,927.9301882265231
6752.160804020101,35537688.442211054,0.15,0.266,406.53039441435834,647.7413442141984,868.1654905192829,933.1568870735828
6827.587939698493,35934673.36683417,0.15,0.266,408.79472617702334,651.3491957299711,873.001081467567,938.3544733007927
6903.015075376885,36331658.29145729,0.15,0.266,411.0465846076345,654.9371729805416,877.8100350067184,943.523428026224
6978.442211055277,36728643.216080405,0.15,0.266,413.2861735953128,658.5056008307048,882.5927865519018,948.6642192604853
7053.869346733669,37125628.140703514,0.15,0.266,415.5136915343569,662.0547953901331,887.3497597838211,953.7773024012757
7129.296482412061,37522613.06532663,0.15,0.266,417.7293315293558,665.5850643401898,892.0813670867472,958.8631207042034
7204.723618090453,37919597.98994975,0.15,0.266,419.9332815905596,669.096707245222,896.7880099657413,963.9221057312426
7280.150753768845,38316582.914572865,0.15,0.266,422.12572482007056,672.5900158492259,901.4700794442758,968.9546777781206
7355.577889447237,38713567.83919598,0.15,0.266,424.30683958937504,676.0652743587156,906.127956443362,973.9612462818274
7431.005025125629,39110552.7638191,0.15,0.266,426.47679970870325,679.5227597125714,910.7620121432261,978.9422102093664
7506.43216080402,39507537.68844221,0.15,0.266,428.63577458867235,682.9627418395916,915.372608328506,983.8979584287936
7581.859296482412,39904522.613065325,0.15,0.266,430.78392939463845,686.3854839044283,919.9600977178776,988.8288700635195
7657.286432160804,40301507.53768844,0.15,0.266,432.92142519415523,689.7912425425388,924.5248242789597,993.7353148307881
7732.713567839196,40698492.46231156,0.15,0.266,435.0484190979118,693.1802680847481,929.0671235292938,998.617653365188
7808.140703517588,41095477.386934675,0.15,0.266,437.1650643944985,696.5528047719763,933.5873228241429,1003.4762375279961
7883.56783919598,41492462.311557785,0.15,0.266,439.2715106793289,699.909090960655,938.0857416318111,1008.3114107031082
7958.994974874372,41889447.2361809,0.15,0.266,441.3679039780232,703.24935931932,942.5626917971342,1013.1235080802543
8034.422110552764,42286432.16080402,0.15,0.266,443.4543868645424,706.5738370168384,947.0184777937619,1017.9128569261663
8109.849246231156,42683417.085427135,0.15,0.266,445.53109857434305,709.8827459027027,951.4533969658044,1022.6797768443154
8185.276381909548,43080402.01005025,0.15,0.266,447.59817511280664,713.1763026797965,955.867739759389,1027.4245800238027
8260.70351758794,43477386.93467337,0.15,0.266,449.655749359183,716.454719070011,960.2617899446367,1032.147571477953
8336.130653266333,43874371.85929648,0.15,0.266,451.70395116627236,719.7182019730723,964.6358248285371,1036.849049273126
8411.557788944723,44271356.783919595,0.15,0.266,453.74290745605697,722.9669536189158,968.9901154591756,1041.5293047482314
8486.984924623115,44668341.70854271,0.15,0.266,455.77274231148317,726.2011717139261,973.3249268217378,1046.1886227254065
8562.412060301507,45065326.63316583,0.15,0.266,457.7935770645798,729.4210495813394,977.6405180266904,1050.8272817122859
8637.8391959799,45462311.557788946,0.15,0.266,459.8055303810917,732.6267762960936,981.9371424905212,1055.4455540962692
8713.266331658291,45859296.48241206,0.15,0.266,461.8087183417945,735.8185368143901,986.2150481093892,1060.0437063311726
8788.693467336683,46256281.40703517,0.15,0.266,463.80325452064756,738.9965120982193,990.4744774260259,1064.6219991166247
8864.120603015075,46653266.33165829,0.15,0.266,465.7892500599368,742.1608792350869,994.7156677902052,1069.180687570547
8939.547738693467,47050251.256281406,0.15,0.266,467.7668137425442,745.3118115531652,998.9388515130785,1073.720021395045
9014.97487437186,47447236.18090452,0.15,0.266,469.73605206148034,748.4494787320814,1003.1442560156654,1078.2402450360146
9090.402010050251,47844221.10552764,0.15,0.266,471.6970692868035,751.574046909543,1007.3321039717623,1082.7415978367478
9165.829145728643,48241206.030150756,0.15,0.266,473.6499675300456,754.6856787839899,1011.5026134455273,1087.2243141858182
9241.256281407035,48638190.954773866,0.15,0.266,475.5948468062569,757.7845337134528,1015.6559980239797,1091.6886236594992
9316.683417085427,49035175.87939698,0.15,0.266,477.5318050937767,760.8707678107885,1019.7924669446431,1096.1347511589624
9392.11055276382,49432160.8040201,0.15,0.266,479.46093839183027,763.944534035451,1023.9122252185465,1100.5629170424875
9467.537688442211,49829145.728643216,0.15,0.266,481.382340776049,767.0059822819544,1028.0154737487903,1104.973337252903
9542.964824120603,50226130.65326633,0.15,0.266,483.29610445200353,770.0552594651695,1032.1024094448692,1109.3662234404683
9618.391959798995,50623115.57788945,0.15,0.266,485.2023198068365,773.0925096025916,1036.1732253329358,1113.7417830813908
9693.819095477387,51020100.50251256,0.15,0.266,487.101075459077,776.1178738937126,1040.2281106621824,1118.1002195921726
9769.24623115578,51417085.427135676,0.15,0.266,488.9924583067137,779.1314907966179,1044.2672510075033,1122.4417324399576
9844.673366834171,51814070.35175879,0.15,0.266,490.87655357360154,782.1334961019276,1048.2908283685986,1126.766517249054
9920.100502512563,52211055.27638191,0.15,0.266,492.75344485427047,785.1240230041923,1052.2990212656653,1131.074765903789
9995.527638190955,52608040.20100503,0.15,0.266,494.62321415720504,788.1032021708521,1056.2920048318229,1135.3666666478543
10070.954773869347,53005025.125628136,0.15,0.266,496.4859419466558,791.071161808857,1060.2699509024042,1139.6424041802802
10146.38190954774,53402010.05025125,0.15,0.266,498.341707183045,794.0280277290457,1064.2330281012428,1143.902159748183
10221.809045226131,53798994.97487437,0.15,0.266,500.19058736202294,796.9739234083771,1068.181401924081,1148.1461112364168
10297.236180904523,54195979.89949749,0.15,0.266,502.03265855222935,799.9089700500961,1072.11523481921,1152.3744332542508
10372.663316582915,54592964.8241206,0.15,0.266,503.8679954318125,802.8332866419212,1076.0346862654587,1156.5872972191958
10448.090452261307,54989949.74874372,0.15,0.266,505.6966713237558,805.7469900123317,1079.9399128476357,1160.7848714380943
10523.5175879397,55386934.67336683,0.15,0.266,507.51875823005844,808.6501948850296,1083.8310683295222,1164.9673211855784
10598.944723618091,55783919.59798995,0.15,0.266,509.33432686481495,811.543013931646,1087.7083037245177,1169.1348087800015
10674.371859296483,56180904.52261306,0.15,0.266,511.14344668623886,814.4255578227659,1091.5717673640254,1173.2874936569467
10749.798994974875,56577889.44723618,0.15,0.266,512.9461859276679,817.2979352773302,1095.4216049636673,1177.4255324403955
10825.226130653267,56974874.3718593,0.15,0.266,514.7426116275934,820.1602531104825,1099.2579596874118,1181.5490790116583
10900.65326633166,57371859.296482414,0.15,0.266,516.5327896587487,823.0126162799172,1103.0809722096951,1185.658284576145
10976.080402010051,57768844.22110552,0.15,0.266,518.3167847562945,825.8551279307878,1106.8907807756107,1189.7532977280607
11051.507537688443,58165829.14572864,0.15,0.266,520.0946605451326,828.6878894392275,1110.6875212592402,1193.834264513104
11126.934673366835,58562814.07035176,0.15,0.266,521.8664795663833,831.511000454537,1114.471327220198,1197.901328489243
11202.361809045227,58959798.994974874,0.15,0.266,523.6323033030565,834.3245589400857,1118.2423299584505,1201.954630785639
11277.78894472362,59356783.91959799,0.15,0.266,525.392192204945,837.1286612129776,1122.0006585674798,1205.9943101597912
11353.216080402011,59753768.84422111,0.15,0.266,527.1462057127715,839.9234019825235,1125.746439985849,1210.0205030529605
11428.643216080403,60150753.76884422,0.15,0.266,528.8944022816136,842.7088743875664,1129.4797990472284,1214.0333436439414
11504.070351758794,60547738.693467334,0.15,0.266,530.6368394036349,845.4851700326996,1133.200858528938,1218.032963901239
11579.497487437186,60944723.61809045,0.15,0.266,532.3735736301462,848.2523790234169,1136.9097391990608,1222.0194936337089
11654.924623115578,61341708.54271357,0.15,0.266,534.1046605930213,851.0105900002361,1140.6065598621774,1225.993060539714
11730.35175879397,61738693.467336684,0.15,0.266,535.8301550254896,853.759890171829,1144.2914374037698,1229.953790254855
11805.778894472362,62135678.3919598,0.15,0.266,537.5501107823288,856.5003653471942,1147.9644868333428,1233.901806398318
11881.206030150754,62532663.31658291,0.15,0.266,539.2645808594773,859.232099966907,1151.6258213263086,1237.8372306178958
11956.633165829146,62929648.24120603,0.15,0.266,540.9736174130874,861.9551771334774,1155.2755522646746,1241.7601826337202
12032.060301507538,63326633.165829144,0.15,0.266,542.6772717780386,864.6696786408485,1158.9137892765812,1245.6707802807607
12107.48743718593,63723618.09045226,0.15,0.266,544.3755944859292,867.3756850030622,1162.540640274721,1249.5691395501203
12182.914572864322,64120603.01507538,0.15,0.266,546.0686352825646,870.0732754821258,1166.1562114936887,1253.4553746291795
12258.341708542714,64517587.93969849,0.15,0.266,547.7564431449587,872.7625281150989,1169.7606075262868,1257.3295979406219
12333.768844221106,64914572.864321604,0.15,0.266,549.4390662978653,875.4435197404355,1173.3539313588299,1261.19192018038
12409.195979899498,65311557.78894472,0.15,0.266,551.1165522298562,878.1163260236003,1176.9362844054797,1265.0424503545419
12484.62311557789,65708542.71356784,0.15,0.266,552.7889477089584,880.7810214819854,1180.5077665416397,1268.8812958152437
12560.050251256282,66105527.638190955,0.15,0.266,554.4562987978685,883.4376795091508,1184.068476136446,1272.7085622955951
12635.477386934674,66502512.56281407,0.15,0.266,556.1186508687557,886.0863723984118,1187.6185100843788,1276.5243539436567
12710.904522613066,66899497.48743718,0.15,0.266,557.7760486176677,888.7271713657913,1191.157963836029,1280.3287733555078
12786.331658291458,67296482.41206029,0.15,0.266,559.4285360785526,891.3601465723626,1194.6869314280411,1284.1219216074335
12861.75879396985,67693467.33668342,0.15,0.266,561.0761566369099,893.9853671459995,1198.2055055122655,1287.9038982872582
12937.185929648242,68090452.26130652,0.15,0.266,562.71895304308,896.6029012025509,1201.71377738414,1291.674801524852
13012.613065326634,68487437.18592964,0.15,0.266,564.3569674251871,899.2128158664636,1205.2118370103292,1295.4347280218383
13088.040201005026,68884422.11055276,0.15,0.266,565.990241301745,901.8151772908673,1208.6997730556448,1299.1837730805305
13163.467336683418,69281407.03517587,0.15,0.266,567.6188155939346,904.4100506771373,1212.1776729092653,1302.9220306321142
13238.89447236181,69678391.95979899,0.15,0.266,569.2427306375681,906.9975002939564,1215.645622710285,1306.6495932641087
13314.321608040202,70075376.88442211,0.15,0.266,570.8620261947441,909.5775894958874,1219.1037073726052,1310.3665522471222
13389.748743718594,70472361.80904523,0.15,0.266,572.4767414652077,912.1503807414722,1222.552010609195,1314.0729975609265
13465.175879396986,70869346.73366834,0.15,0.266,574.0869150974233,914.7159356108738,1225.9906149557344,1317.7690179198732
13540.603015075378,71266331.65829146,0.15,0.266,575.6925851993665,917.2743148230741,1229.4196017936652,1321.454700797669
13616.03015075377,71663316.58291458,0.15,0.266,577.2937893490486,919.8255782526401,1232.8390513726636,1325.1301324515284
13691.457286432162,72060301.5075377,0.15,0.266,578.8905646047768,922.3697849460741,1236.249042832553,1328.795397945731
13766.884422110554,72457286.43216081,0.15,0.266,580.4829475151626,924.906993137759,1239.6496542246755,1332.45058117459
13842.311557788946,72854271.35678391,0.15,0.266,582.0709741288813,927.4372602655094,1243.0409625327366,1336.0957648848573
13917.738693467338,73251256.28140703,0.15,0.266,583.6546800041943,929.9606429857437,1246.4230436931382,1339.7310306975803
13993.16582914573,73648241.20603015,0.15,0.266,585.2341002182394,932.4771971882859,1249.795972614819,1343.356459129426
14068.592964824122,74045226.13065326,0.15,0.266,586.8092693760947,934.986978010809,1253.1598231986118,1346.9721296134892
14144.020100502514,74442211.05527638,0.15,0.266,588.3802216196256,937.4900398529302,1256.514668356136,1350.578120519597
14219.447236180906,74839195.9798995,0.15,0.266,589.9469906361194,939.9864363899685,1259.8605800282367,1354.1745091741302
14294.874371859298,75236180.90452261,0.15,0.266,591.509609666713,942.4762205863742,1263.197629202984,1357.7613718793687
14370.30150753769,75633165.82914573,0.15,0.266,593.0681115146227,944.9594447088401,1266.5258859332462,1361.338783932381
14445.728643216082,76030150.75376885,0.15,0.266,594.6225285531777,947.4361603391033,1269.8454193538473,1364.9068196434666
14521.155778894474,76427135.67839196,0.15,0.266,596.172892733667,949.9064183864464,1273.156297698324,1368.4655523541655
14596.582914572866,76824120.60301508,0.15,0.266,597.7192355930016,952.3702690999074,1276.458588315288,1372.0150544548483
14672.010050251258,77221105.5276382,0.15,0.266,599.2615882611999,954.8277620802056,1279.7523576844123,1375.5553974018965
14747.437185929648,77618090.4522613,0.15,0.266,600.7999814686993,957.2789462913917,1283.0376714320457,1379.0866517344868
14822.86432160804,78015075.37688442,0.15,0.266,602.3344455535008,959.7238700722312,1286.314594346469,1382.6088870909903
14898.291457286432,78412060.30150753,0.15,0.266,603.8650104681485,962.1625811473259,1289.5831903928013,1386.1221722249938
14973.718592964824,78809045.22613065,0.15,0.266,605.3917057865517,964.5951266379838,1292.8435227275688,1389.6265750209602
15049.145728643216,79206030.15075377,0.15,0.266,606.9145607106527,967.0215530728422,1296.0956537129443,1393.1221625095313
15124.572864321608,79603015.07537688,0.15,0.266,608.4336040769431,969.441906398251,1299.3396449306622,1396.6090008824883
15200.0,80000000.0,0.15,0.266,609.9488643628349,971.8562319884247,1302.5755571956254,1400.0871555073745
